ID,NM_UF,NM_MUNICIP,CD_GEOCODM_SUS,LONG,LAT
16827,SÃO PAULO,PIRAPORA DO BOM JESUS,353910,-47.0009675687449,-23.3975233079019
16828,SÃO PAULO,PIRAPOZINHO,353920,-51.4995842900895,-22.276675485
16830,SÃO PAULO,PIRASSUNUNGA,353930,-47.4251728816539,-21.994049295
16833,SÃO PAULO,PIRATININGA,353940,-49.1372522167908,-22.4120659448211
16841,SÃO PAULO,PITANGUEIRAS,353950,-48.222265751502,-21.0109994993678
16846,SÃO PAULO,PLANALTO,353960,-49.925719799209,-21.0323282024966
16847,SÃO PAULO,PLATINA,353970,-50.208934535832,-22.6334572583338
16848,SÃO PAULO,POÁ,353980,-46.3462203886587,-23.5286265676615
16850,SÃO PAULO,POLONI,353990,-49.8138949066774,-20.7858577505803
16851,SÃO PAULO,POMPÉIA,354000,-50.176028054853,-22.1061456540783
16854,SÃO PAULO,PONGAÍ,354010,-49.3608700748926,-21.7361764725485
16856,SÃO PAULO,PONTAL,354020,-48.0378373025419,-21.02571
16861,SÃO PAULO,PONTALINDA,354025,-50.524602015676,-20.4408338429439
16862,SÃO PAULO,PONTES GESTAL,354030,-49.7035523558339,-20.1823631062097
16863,SÃO PAULO,POPULINA,354040,-50.5368531154367,-19.9443331306978
16865,SÃO PAULO,PORANGABA,354050,-48.1267674358002,-23.1753874993167
16879,SÃO PAULO,PORTO FELIZ,354060,-47.5245965730656,-23.2144122679999
16892,SÃO PAULO,PORTO FERREIRA,354070,-47.481409643358,-21.858362505
16894,SÃO PAULO,POTIM,354075,-45.255974312882,-22.8406202063186
16895,SÃO PAULO,POTIRENDABA,354080,-49.3781831999027,-21.0450947210928
16896,SÃO PAULO,PRACINHA,354085,-51.0870772105069,-21.8519276207301
16897,SÃO PAULO,PRADÓPOLIS,354090,-48.0655830220454,-21.358049011278
16898,SÃO PAULO,PRAIA GRANDE,354100,-46.4120495836124,-24.0030215
16900,SÃO PAULO,PRATÂNIA,354105,-48.6646855775175,-22.8114679844676
16902,SÃO PAULO,PRESIDENTE ALVES,354110,-49.4391492872367,-22.1036743192374
16904,SÃO PAULO,PRESIDENTE BERNARDES,354120,-51.557570191824,-22.0089907787559
16908,SÃO PAULO,PRESIDENTE EPITÁCIO,354130,-52.1152758269966,-21.768781995
16911,SÃO PAULO,PRESIDENTE PRUDENTE,354140,-51.3867655819125,-22.1227435
16917,SÃO PAULO,PRESIDENTE VENCESLAU,354150,-51.8402588050568,-21.875939505
16918,SÃO PAULO,PROMISSÃO,354160,-49.8577352347911,-21.538867499355
16920,SÃO PAULO,QUADRA,354165,-48.0526853360855,-23.3015749993139
16922,SÃO PAULO,QUATÁ,354170,-50.6979473893502,-22.2494047983717
16924,SÃO PAULO,QUEIROZ,354180,-50.2409284561053,-21.7990944339574
16925,SÃO PAULO,QUELUZ,354190,-44.7784773100595,-22.5418444993313
16926,SÃO PAULO,QUINTANA,354200,-50.3115952429299,-22.071919826417
16927,SÃO PAULO,RAFARD,354210,-47.5311606809031,-23.0115563538873
16928,SÃO PAULO,RANCHARIA,354220,-50.890211685938,-22.22845101
16932,SÃO PAULO,REDENÇÃO DA SERRA,354230,-45.5364956107389,-23.2726554993106
16933,SÃO PAULO,REGENTE FEIJÓ,354240,-51.3031489766821,-22.220234092902
16943,SÃO PAULO,REGINÓPOLIS,354250,-49.2297976710518,-21.8867609385595
16945,SÃO PAULO,REGISTRO,354260,-47.841054751675,-24.4942514279999
16947,SÃO PAULO,RESTINGA,354270,-47.4830902374517,-20.6038028262709
16948,SÃO PAULO,RIBEIRA,354280,-49.0083019947608,-24.657489499284
16950,SÃO PAULO,RIBEIRÃO BONITO,354290,-48.1777057541408,-22.06493466402
16952,SÃO PAULO,RIBEIRÃO BRANCO,354300,-48.7654774814823,-24.2202684575569
16955,SÃO PAULO,RIBEIRÃO CORRENTE,354310,-47.5907050925335,-20.460660174376
