*Folder: /media/alex/ALEXDATA/data_sets/HEALTH/HOSPITALIZATION/MT/

NUMBER	STATE	FILE	SHAPE	J-CASES
112 MT RDMT1005.dbf (15822, 86) 16.047 %
113 MT RDMT1006.dbf (14908, 86) 15.911 %
114 MT RDMT1007.dbf (15700, 86) 14.701 %
115 MT RDMT1008.dbf (15315, 86) 14.247 %
116 MT RDMT1101.dbf (14790, 93) 16.626 %
117 MT RDMT1102.dbf (14289, 93) 14.634 %
118 MT RDMT1103.dbf (14611, 93) 14.154 %
119 MT RDMT1104.dbf (15859, 93) 17.649 %
120 MT RDMT1105.dbf (14529, 93) 17.558 %
121 MT RDMT1106.dbf (14319, 93) 15.204 %
122 MT RDMT1107.dbf (14256, 93) 13.419 %
123 MT RDMT1108.dbf (13031, 93) 13.353 %
124 MT RDMT1109.dbf (15301, 93) 12.163 %
125 MT RDMT1110.dbf (14702, 93) 10.958 %
126 MT RDMT1111.dbf (14689, 93) 10.396 %
127 MT RDMT1112.dbf (15005, 93) 10.630 %
128 MT RDMT1201.dbf (13512, 93) 10.309 %
129 MT RDMT1202.dbf (13969, 93) 9.557 %
130 MT RDMT1203.dbf (15629, 93) 10.365 %
131 MT RDMT1204.dbf (15797, 93) 12.255 %
132 MT RDMT1205.dbf (15642, 93) 14.774 %
133 MT RDMT1206.dbf (16430, 93) 14.492 %
134 MT RDMT1207.dbf (15930, 93) 13.346 %
135 MT RDMT1208.dbf (15849, 93) 12.871 %
136 MT RDMT1209.dbf (15876, 93) 11.772 %
137 MT RDMT1210.dbf (15097, 93) 11.347 %
138 MT RDMT1211.dbf (15050, 93) 10.179 %
139 MT RDMT1212.dbf (15259, 93) 10.119 %
140 MT RDMT1301.dbf (14853, 95) 9.870 %
141 MT RDMT1302.dbf (15170, 95) 9.776 %
142 MT RDMT1303.dbf (15694, 95) 12.533 %
143 MT RDMT1304.dbf (15987, 95) 16.151 %
144 MT RDMT1305.dbf (15461, 95) 15.704 %
145 MT RDMT1306.dbf (16353, 95) 14.462 %
146 MT RDMT1307.dbf (15134, 95) 12.977 %
147 MT RDMT1308.dbf (15697, 95) 12.340 %
148 MT RDMT1309.dbf (15152, 95) 12.117 %
149 MT RDMT1310.dbf (15125, 95) 10.116 %
150 MT RDMT1311.dbf (15666, 95) 10.296 %
151 MT RDMT1312.dbf (15679, 95) 10.300 %
152 MT RDMT1401.dbf (14586, 113) 10.613 %
153 MT RDMT1402.dbf (14629, 113) 10.718 %
154 MT RDMT1403.dbf (15592, 113) 12.506 %
155 MT RDMT1404.dbf (15943, 113) 13.316 %
156 MT RDMT1405.dbf (15964, 113) 14.113 %
157 MT RDMT1406.dbf (15940, 113) 14.780 %
158 MT RDMT1407.dbf (16021, 113) 12.540 %
159 MT RDMT1408.dbf (15914, 113) 10.971 %
160 MT RDMT1409.dbf (15857, 113) 10.727 %
161 MT RDMT1410.dbf (15685, 113) 10.214 %
162 MT RDMT1411.dbf (15963, 113) 9.766 %
